medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
9E07C0CBD7F85253EF9BE2F93FCA5969,3B9E63BED9DBC58899201EFDB3AE8D11,VTS,1,,2013-01-13 04:39:00,2013-01-13 04:54:00,1,900,4.11,-73.997047,40.763519,-73.947289,40.779675
B4A61CBE172F74FA5331EE039FFE8A73,66CED892F7945CE547FB688A4E8A5176,VTS,4,,2013-01-13 04:29:00,2013-01-13 04:55:00,1,1560,4.14,-73.993141,40.761292,-73.988708,40.766727
352608A9D2E895B5CF3A032A3199C672,2A7194445D7C19AB2C1E548D173C267E,VTS,1,,2013-01-13 04:41:00,2013-01-13 04:55:00,1,840,4.97,-73.9897,40.741432,-73.926056,40.755772
69D73BA00CDCA9A663285637F90E44C5,A58B17FA7DCB6116EB33BB8E50897FD2,VTS,1,,2013-01-13 04:32:00,2013-01-13 04:41:00,2,540,1.53,-73.997093,40.763512,-73.973061,40.753677
F6BB15B0F863D58E24EAC1D99AA7230D,DE71A0CE2C79C14DE76DD394D3CBBBF3,VTS,1,,2013-01-13 04:23:00,2013-01-13 04:38:00,1,900,6.80,-73.990601,40.719376,-73.955528,40.819172
5EB75EEF943CFA2C6320E65FDD0926A5,6E57DAE51BC1732318ADC229F5C0C80A,VTS,1,,2013-01-13 04:12:00,2013-01-13 04:39:00,3,1620,6.06,-73.885719,40.738586,-73.98629,40.772301
BC039E9B5DD28E4231D8FBAF1F61BDD3,520D1C08519CEBCC57E1CF01823C3041,VTS,1,,2013-01-13 04:28:00,2013-01-13 04:38:00,3,600,3.56,-73.987625,40.760311,-73.948402,40.787281
2452625B6740985577C65E0511A780A7,980A15AE7BF88E611E4639E05B5A0AD7,VTS,1,,2013-01-13 04:37:00,2013-01-13 04:41:00,1,240,.45,-73.998833,40.713661,-73.999557,40.718601
E05E9D1EDED0FE81F7DD7E81EF1CC08F,32A25B6B37DD77338AE8D2F342354290,VTS,1,,2013-01-13 04:36:00,2013-01-13 04:39:00,1,180,.33,-74.005966,40.740051,-74.000832,40.739063
32EDFD4F796FB7716AAA4B22F441F3CF,E293685489318C734F77F8169A967080,VTS,1,,2013-01-13 04:02:00,2013-01-13 04:39:00,6,2220,13.42,-73.993706,40.721027,-73.958923,40.653011
E15F7CCB808DD15E0496D830D3DEDECE,018ACEDAC372E95A9F5F356E919D26A3,VTS,1,,2013-01-13 04:31:00,2013-01-13 04:39:00,3,480,1.59,-74.00383,40.726101,-74.004257,40.742218
117F88A0992F66ABF37006664D6F67C1,81F0823FAB418C781EC69E01ECC91A17,VTS,1,,2013-01-13 04:13:00,2013-01-13 04:39:00,1,1560,14.61,-73.987709,40.719296,-73.910751,40.88583
2A2A95C293FCEA281B5E9A82D3177804,363205589C4D39EA7166FCEC37538E04,VTS,1,,2013-01-13 04:31:00,2013-01-13 04:40:00,6,540,3.74,-73.988762,40.722099,-73.947556,40.725117
D9D9E4F06057F9C00888607C1CA29DF9,232366FC4B73FDEDBAC4929808F21DFD,VTS,1,,2013-01-13 04:21:00,2013-01-13 04:41:00,1,1200,5.79,-73.988068,40.722668,-73.999947,40.682896
6CE32B95BD6B798EC2ABCC7AD6542F60,068242495D7B4B2597BF09845B6E992B,VTS,1,,2013-01-13 04:32:00,2013-01-13 04:41:00,1,540,2.13,-73.988617,40.719479,-73.994469,40.740593
88E9DF1AED300A04D19A3FDF34E6BD9A,E29F9A1C6FD68365E43E87492D5DAA1A,VTS,1,,2013-01-13 04:19:00,2013-01-13 04:40:00,5,1260,12.31,-73.981697,40.766796,-73.815155,40.699482
E106A67BA178114B174863C1845A1D6A,3E64320ABC0199BF6A65A75665BC76F5,VTS,1,,2013-01-13 04:23:00,2013-01-13 04:40:00,1,1020,6.40,-73.988327,40.764256,-73.937439,40.812725
8F6D8C51B43D322F0AEF6D2B877862C3,E38F119AAF0902E9F029C108A2A1DE40,VTS,1,,2013-01-13 04:15:00,2013-01-13 04:40:00,2,1500,5.80,-73.983688,40.761257,-73.889511,40.747082
D409FE36415B23FDA006DA5D92E0D1E4,254253EA055BF57CEF00EE07BAE90398,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:53:00,1,480,2.12,-73.982841,40.76712,-73.968719,40.791672
AB87C30AA2D26B7A49EF453D5FDEFB02,606E2A9C1F3F8D9CD27E3AEB0367AE3B,VTS,1,,2013-01-13 04:47:00,2013-01-13 04:55:00,1,480,2.48,-73.858536,40.728283,-73.858536,40.728283
F3F022E9D4E54DC55D6F6D3432CAA30B,E4D9049D9386398FEE60BD94D5305EF6,VTS,1,,2013-01-13 04:31:00,2013-01-13 04:54:00,5,1380,10.80,-73.987976,40.72226,-73.99437,40.615093
0F2293E74CC9DE6E6986069B7DD4FC8C,2A09EE3BA47C9569A94BBD087004F149,VTS,1,,2013-01-13 04:37:00,2013-01-13 04:53:00,1,960,4.12,-73.988029,40.764606,-73.987526,40.722527
390DCD7D86C71B88A803D08163FA8A79,DFAF9B7356854BF9B9066F05F2CD1C9A,VTS,1,,2013-01-13 04:32:00,2013-01-13 04:54:00,2,1320,11.64,-73.995956,40.758984,-74.007256,40.620514
1CA1F43CA75E2744B36B98B233D301FC,CA54FEB44F424C224775A00990D59CCE,VTS,1,,2013-01-13 04:38:00,2013-01-13 04:54:00,1,960,7.93,-73.917183,40.771046,-73.976807,40.764793
