medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
F42F48B85F904DDB6BC444D6FE97EDA5,9138D1C926529049817DD4609AA26059,VTS,2013-01-13 02:08:00,CRD,22,0.5,0.5,4.5,0,27.5
BBD9036AF1EDDC63EC9BAC03381F0199,6EF2B90A54957351A725E22F39D1659E,VTS,2013-01-13 02:09:00,CSH,11,0.5,0.5,0,0,12
5DFA10705410FA86ECFC6447038BF228,24D86F1D5547AE45D4E5FD79D8949064,VTS,2013-01-13 02:13:00,CRD,6.5,0.5,0.5,4,0,11.5
C7C670B61035071B3611BFE9704B5AFB,3BE40ABF2AEBF19B903BB7BB3D8778E8,VTS,2013-01-13 02:05:00,CRD,15.5,0.5,0.5,2,0,18.5
129EB1CA344C038A54D157CB14D346FA,442C8FBDF35DD0C4E2B1751455FE4BFE,VTS,2013-01-13 02:11:00,CRD,9,0.5,0.5,1,0,11
4D85BA8EC586E2B4A3D63B45F911C1A4,26574B9E9F9F9A862AC3F6307068FD22,VTS,2013-01-13 02:05:00,CSH,15.5,0.5,0.5,0,0,16.5
4FD9F16B9D63993965B3E374E216B08B,6C9DEFE28A38A0F393D66C7FCB7EFB3C,VTS,2013-01-13 02:12:00,CRD,12,0.5,0.5,2.5,0,15.5
AF63C6CB66D4BC7278AF28E65EB90558,3D26C8E8A789662C7FD0E50397241B1C,VTS,2013-01-13 04:25:00,CRD,39,0.5,0.5,3,0,43
1527A3C0B3F4E6448E5D7D0505F2FE6B,0ADEFBFB86D1393BAF6650724EE71874,VTS,2013-01-13 04:42:00,CRD,13.5,0.5,0.5,4.2,0,18.7
98B88FF4B8F374CB86FBEF23BFDC8DDC,238D1442EC563F7EE131D3B253E47E33,VTS,2013-01-13 04:38:00,CSH,17,0.5,0.5,0,0,18
813C77728473B529763198820D03E1CF,2FDFB0F4C596CE9DDF5052707670E203,VTS,2013-01-13 04:38:00,CSH,26,0.5,0.5,0,0,27
63A550E9F85C10897336D5475B450BDD,C0017EFFACE6B532FDF76A2A1CD02272,VTS,2013-01-13 04:52:00,CRD,5.5,0.5,0.5,1.2,0,7.7
BAE2E3D1E60161EB06CB10ACEE43F0E7,D617AB26CBE5FC605F5C01294D5B08C9,VTS,2013-01-13 04:32:00,CSH,22.5,0.5,0.5,0,0,23.5
