pickup_time,dropoff_time,pickup_long,pickup_lat,dropoff_long,dropoff_lat,id_taxi,distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,payment_type,passengers,field1,field2,field3,field4
2013-01-10 17:19:42,2013-01-10 17:51:18,-73.963608,40.774113,-73.944038,40.717518,D8AADA4E722C87C10E609654612630DD,5.90,24,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-10 13:16:11,2013-01-10 13:26:46,-73.958481,40.761166,-73.986542,40.749397,A5A69FAD94C3DC7854F9DDEA994B6380,2.40,10.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 00:02:36,2013-01-08 00:05:56,-73.985573,40.747375,-73.983879,40.739223,7D99C30FCE69B1A9DD27E2AEAC9BFA0C,.70,4.5,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 17:54:25,2013-01-07 18:00:25,-73.985184,40.773998,-73.964737,40.801834,5E162F2D7F569949769648C56A23C525,2.20,8,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 10:38:22,2013-01-08 10:56:19,-73.967682,40.751221,-73.995232,40.717422,82420BD631D2BB88E2F213A8CA15BECE,3.10,14,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 20:13:25,2013-01-07 20:25:01,-74.007469,40.708904,-73.981888,40.67767,1836E1591EE79F810104064B945747AB,3.60,13,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 01:15:53,2013-01-08 01:23:09,-73.9925,40.758308,-73.96714,40.76078,1836E1591EE79F810104064B945747AB,1.90,8,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 18:12:27,2013-01-07 18:19:41,-73.982315,40.774441,-73.965904,40.801422,8FCED8833E91F75673B4B4B4A7D720AB,2.20,8.5,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 18:45:40,2013-01-07 19:00:14,-73.977676,40.746544,-73.999458,40.738972,47CFD616C057758044C57D1B4BEFE759,1.90,10.5,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 11:33:23,2013-01-08 11:48:13,-73.987732,40.751884,-73.98172,40.746529,4728FA63A46613319446ED726626FED3,.60,10,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 20:46:10,2013-01-07 21:06:01,-73.864861,40.770428,-74.006653,40.707874,0C5296F3C8B16E702F8F2E06F5106552,12.30,34,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 18:45:14,2013-01-07 18:52:54,-73.979706,40.758427,-73.985558,40.747265,0CC08DE5645A7137059499EA11886805,.90,6.5,1,0.5,0,0,CSH,3,0,0,0,0
2013-01-10 15:17:20,2013-01-10 15:28:22,-73.988495,40.737442,-73.988106,40.7491,961D9C9506D105D3A7E88229F0487033,1.00,8,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-10 15:04:11,2013-01-10 15:07:35,-73.980118,40.754601,-73.988045,40.748962,1159BD618BE1D4A90D522416A77AC29A,.70,4.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 13:16:48,2013-01-08 13:32:24,-74.004578,40.707554,-73.99247,40.734222,FA3DD236E7627E99646337C5218EA281,2.20,12,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 15:33:16,2013-01-08 15:48:56,-73.945915,40.786156,-73.971581,40.794956,FA3DD236E7627E99646337C5218EA281,1.60,11.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 22:35:11,2013-01-07 22:59:29,-73.790016,40.644058,-73.956703,40.747852,38CA8BCB4180F32BEDE6FE085F4E445E,16.10,44.5,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 18:48:51,2013-01-07 18:56:16,-73.998337,40.746025,-73.981255,40.747223,C28DA92FB1D60B9EBFB7EFA6AE6C4577,1.20,7,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 22:19:19,2013-01-07 22:39:02,0,0,0,0,DDB3F3E0172B1FBF0C9E39CA773CC6E3,11.40,32.5,0.5,0.5,0,2.2,CSH,1,0,0,0,0
2013-01-10 10:31:05,2013-01-10 10:46:35,-73.982079,40.763794,-74.003113,40.731106,B14118AD4BF381D80035EF546CE7AEFA,2.40,12,0,0.5,0,0,CSH,2,0,0,0,0
2013-01-08 02:22:17,2013-01-08 02:24:47,-73.99469,40.750191,-73.990089,40.757217,50296A056AF5D221536DC98ABB1E3274,.50,4,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 13:21:28,2013-01-07 13:34:11,-73.947601,40.77533,-73.978798,40.777584,2D4B95E2FA7B2E85118EC5CA4570FA58,2.30,11,0,0.5,0,0,CSH,2,0,0,0,0
2013-01-07 21:58:43,2013-01-07 22:08:42,-73.987099,40.755215,-73.974457,40.755589,4C005EEBAA7BF26B84B21586332488A2,2.00,9,0.5,0.5,0,0,CSH,3,0,0,0,0
2013-01-01 17:11:51,2013-01-01 17:17:18,-73.98793,40.749542,-73.978981,40.766735,5C1E310A26EEE17AA72AFE63194DE5B5,1.40,6.5,0,0.5,0,0,CSH,3,0,0,0,0
2013-01-08 10:44:06,2013-01-08 10:46:09,-73.989296,40.756313,-73.987885,40.751122,CD847FE5884F10A28217E9FBA11B275B,.30,3.5,0,0.5,0,0,DIS,1,0,0,0,0
2013-01-10 14:55:05,2013-01-10 14:57:38,-73.961678,40.756123,-73.969917,40.753159,961D9C9506D105D3A7E88229F0487033,.60,4,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-10 10:42:05,2013-01-10 10:51:14,-73.946854,40.775887,-73.961754,40.77993,A5A69FAD94C3DC7854F9DDEA994B6380,.90,7.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 08:29:26,2013-01-07 08:34:48,-73.986847,40.762066,-74.002892,40.760334,FAE1370A694D0621FAE1E62FAFD64080,1.10,6,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-05 14:00:07,2013-01-05 14:06:34,-73.986351,40.738503,-73.981422,40.74744,312E0CB058D7FC1A6494EDB66D360CD2,.80,6,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-05 21:04:10,2013-01-05 21:11:45,-73.9879,40.737755,-73.979568,40.730965,0DDA4FBFADAE0126868397C423989193,.90,6.5,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 13:51:53,2013-01-08 13:55:24,-73.998299,40.740654,-74.000504,40.747913,24929E5F008DBC4C0E551B957F619910,.70,4.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-06 22:18:22,2013-01-06 22:26:51,-74.003059,40.723473,-73.976883,40.751884,26B6CDD419985C6F551F0FAE87EF3AA9,2.90,10.5,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 12:50:22,2013-01-08 12:58:39,-73.952026,40.766479,-73.966827,40.759968,D5367E940A20B9D2550BF7CF7AE01681,1.10,7.5,0,0.5,0,0,CSH,2,0,0,0,0
2013-01-08 07:51:16,2013-01-08 07:51:20,-73.945396,40.80209,-73.945412,40.802025,20D9ECB2CA0767CF7A01564DF2844A3E,.00,2.5,0,0.5,0,0,NOC,1,0,0,0,0
2013-01-08 10:54:06,2013-01-08 10:55:50,-73.983917,40.746563,-73.990921,40.750141,21EF33AA5B34F791B9627087A59C2B13,.50,3.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-01 19:41:43,2013-01-01 19:49:17,-73.984734,40.76931,-73.997787,40.744205,02BFD1B64C2C80B433D3A282C828912B,2.10,8.5,0,0.5,0,0,CSH,2,0,0,0,0
2013-01-08 08:30:16,2013-01-08 08:41:03,-73.976288,40.765472,-73.975105,40.757393,1944EB168702ED8E6B9FD94E988D0197,.80,8,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-06 16:37:03,2013-01-06 16:41:38,-73.995102,40.744781,-73.992508,40.738434,CBA5A347BB1107C22444175A81393D41,.70,5,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 10:08:49,2013-01-08 10:18:43,-73.972366,40.762138,-73.957542,40.782902,D5367E940A20B9D2550BF7CF7AE01681,1.60,8.5,0,0.5,0,0,CSH,2,0,0,0,0
2013-01-08 07:49:28,2013-01-08 07:57:15,-74.00679,40.754345,-73.980316,40.784081,37BDEA2E54A3B70CBFA5B0D1C3A75FE2,2.60,10.5,0,0.5,0,0,CSH,2,0,0,0,0
2013-01-07 16:19:22,2013-01-07 16:24:13,0,0,0,0,0428E3DD09EA5A63D85509C7CA8C0199,.90,5.5,1,0.5,0,0,CSH,1,0,0,0,0
